Chip	BrainArrayName	pdName	dbName
Bovine	Bovine_Bt_ENTREZG	bovine.bt.entrezg	bovinebtentrezg
bovgene10st	bovgene10st_Bt_ENTREZG	bovgene10st.bt.entrezg	bovgene10stbtentrezg
bovgene11st	bovgene11st_Bt_ENTREZG	bovgene11st.bt.entrezg	bovgene11stbtentrezg
Celegans	Celegans_Ce_ENTREZG	celegans.ce.entrezg	celegansceentrezg
elegene10st	elegene10st_Ce_ENTREZG	elegene10st.ce.entrezg	elegene10stceentrezg
elegene11st	elegene11st_Ce_ENTREZG	elegene11st.ce.entrezg	elegene11stceentrezg
Canine2	Canine2_Cf_ENTREZG	canine2.cf.entrezg	canine2cfentrezg
Canine2PM	Canine2PM_Cf_ENTREZG	canine2pm.cf.entrezg	canine2pmcfentrezg
cangene10st	cangene10st_Cf_ENTREZG	cangene10st.cf.entrezg	cangene10stcfentrezg
cangene11st	cangene11st_Cf_ENTREZG	cangene11st.cf.entrezg	cangene11stcfentrezg
Zebrafish	Zebrafish_Dr_ENTREZG	zebrafish.dr.entrezg	zebrafishdrentrezg
zebgene10st	zebgene10st_Dr_ENTREZG	zebgene10st.dr.entrezg	zebgene10stdrentrezg
zebgene11st	zebgene11st_Dr_ENTREZG	zebgene11st.dr.entrezg	zebgene11stdrentrezg
equgene10st	equgene10st_EQca_ENTREZG	equgene10st.eqca.entrezg	equgene10steqcaentrezg
equgene11st	equgene11st_EQca_ENTREZG	equgene11st.eqca.entrezg	equgene11steqcaentrezg
Chicken	Chicken_Gg_ENTREZG	chicken.gg.entrezg	chickenggentrezg
chigene10st	chigene10st_Gg_ENTREZG	chigene10st.gg.entrezg	chigene10stggentrezg
chigene11st	chigene11st_Gg_ENTREZG	chigene11st.gg.entrezg	chigene11stggentrezg
ClariomDHuman	ClariomDHuman_Hs_ENTREZG	clariomdhuman.hs.entrezg	clariomdhumanhsentrezg
ClariomSHuman	ClariomSHuman_Hs_ENTREZG	clariomshuman.hs.entrezg	clariomshumanhsentrezg
ClariomSHumanHT	ClariomSHumanHT_Hs_ENTREZG	clariomshumanht.hs.entrezg	clariomshumanhthsentrezg
HCG110	HCG110_Hs_ENTREZG	hcg110.hs.entrezg	hcg110hsentrezg
HGFocus	HGFocus_Hs_ENTREZG	hgfocus.hs.entrezg	hgfocushsentrezg
HGU133A	HGU133A_Hs_ENTREZG	hgu133a.hs.entrezg	hgu133ahsentrezg
HGU133A2	HGU133A2_Hs_ENTREZG	hgu133a2.hs.entrezg	hgu133a2hsentrezg
HGU133B	HGU133B_Hs_ENTREZG	hgu133b.hs.entrezg	hgu133bhsentrezg
HGU133Plus2	HGU133Plus2_Hs_ENTREZG	hgu133plus2.hs.entrezg	hgu133plus2hsentrezg
HGU219	HGU219_Hs_ENTREZG	hgu219.hs.entrezg	hgu219hsentrezg
HGU95A	HGU95A_Hs_ENTREZG	hgu95a.hs.entrezg	hgu95ahsentrezg
HGU95Av2	HGU95Av2_Hs_ENTREZG	hgu95av2.hs.entrezg	hgu95av2hsentrezg
HGU95B	HGU95B_Hs_ENTREZG	hgu95b.hs.entrezg	hgu95bhsentrezg
HGU95C	HGU95C_Hs_ENTREZG	hgu95c.hs.entrezg	hgu95chsentrezg
HGU95D	HGU95D_Hs_ENTREZG	hgu95d.hs.entrezg	hgu95dhsentrezg
HGU95E	HGU95E_Hs_ENTREZG	hgu95e.hs.entrezg	hgu95ehsentrezg
HTHGU133A	HTHGU133A_Hs_ENTREZG	hthgu133a.hs.entrezg	hthgu133ahsentrezg
HTHGU133B	HTHGU133B_Hs_ENTREZG	hthgu133b.hs.entrezg	hthgu133bhsentrezg
HTHGU133PlusPM	HTHGU133PlusPM_Hs_ENTREZG	hthgu133pluspm.hs.entrezg	hthgu133pluspmhsentrezg
Hu6800	Hu6800_Hs_ENTREZG	hu6800.hs.entrezg	hu6800hsentrezg
JnJ384screen	JnJ384screen_Hs_ENTREZG	jnj384screen.hs.entrezg	jnj384screenhsentrezg
